task_id,task_code,asset_id,corridor_code,feat_maint_type,feat_department,feat_asset_type,feat_priority,feat_power_block_req,feat_traffic_block_req,feat_speed_restriction_kmph,feat_work_complexity_score,feat_corridor_length_km,feat_corridor_electrified,feat_corridor_double_line,feat_section_span_km,feat_dependency_count,feat_asset_criticality,feat_asset_criticality_score,feat_asset_health_status,feat_asset_health_score,feat_task_urgency,feat_task_urgency_score,feat_days_until_required,feat_is_overdue,feat_task_priority_score,feat_train_traffic_count,feat_high_priority_train_count,feat_high_priority_train_ratio,feat_available_window_count,feat_total_available_window_minutes,feat_window_to_task_duration_ratio,feat_potential_train_conflicts,raw_requested_duration_minutes,target_maintenance_duration,target_asset_risk_priority,target_operational_impact,data_source,generator_version,random_seed
t1111111-1111-1111-1111-111111111111,TAMP-UP-112,a1111111-1111-1111-1111-111111111111,NDLS-CNB,TRACK_TAMPING,ENGG,TRACK,1,0,1,30.0,2.25,440.5,1,1,4.0,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,HIGH,3,5.45,0,5,1,1,1.0,1,210,1.167,1,180,180.0,87.75,65.0,real,,
t2222222-2222-2222-2222-222222222222,SIG-PNT-44,a2222222-2222-2222-2222-222222222222,NDLS-CNB,POINTS_TESTING,SNT,INTERLOCKING,2,0,1,0.0,1.5,440.5,1,1,1.0,0,HIGH,3,OPERATIONAL,1,MEDIUM,2,8.2,0,4,1,1,1.0,1,210,2.333,1,90,90.0,53.25,55.0,real,,
synth-task-00001,SYN-ENGG-0001,synth-asset-ENGG-348,NDLS-CNB,DEEP_SCREENING,ENGG,TRACK,1,0,1,15.0,2.003,440.5,1,1,5.87,0,CRITICAL,4,UNDER_MAINTENANCE,2,HIGH,3,-2.56,1,5,14,3,0.214,3,555,2.22,3,250,282.7,82.87,86.07,synthetic,1.0.0,42
synth-task-00002,SYN-TRD-0002,synth-asset-TRD-396,CSMT-KYN,SUBSTATION_MAINTENANCE,TRD,TRACTION_SUBSTATION,2,1,0,0.0,1.958,54.0,1,1,4.78,1,CRITICAL,4,DEGRADED,3,IMMEDIATE,4,-0.32,1,4,17,4,0.235,1,228,1.101,0,207,225.1,93.66,70.82,synthetic,1.0.0,42
synth-task-00003,SYN-SNT-0003,synth-asset-SNT-554,NDLS-CNB,INTERLOCKING_LOGIC_TEST,SNT,INTERLOCKING,3,0,1,0.0,2.15,440.5,1,1,2.22,1,HIGH,3,OPERATIONAL,1,MEDIUM,2,3.2,0,3,11,5,0.455,1,215,1.443,6,149,104.1,48.29,74.03,synthetic,1.0.0,42
synth-task-00004,SYN-ENGG-0004,synth-asset-ENGG-310,CSMT-KYN,RAIL_GRINDING,ENGG,TRACK,3,0,1,15.0,2.004,54.0,1,1,3.61,0,MEDIUM,2,DEGRADED,3,MEDIUM,2,6.4,0,3,24,3,0.125,1,169,0.786,3,215,216.3,56.49,83.52,synthetic,1.0.0,42
synth-task-00005,SYN-SNT-0005,synth-asset-SNT-501,HWH-DDU,TRACK_CIRCUIT_CHECK,SNT,TRACK_CIRCUIT,2,0,1,0.0,1.644,675.0,1,1,2.74,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,2.68,0,4,14,4,0.286,3,414,5.049,4,82,60.4,88.73,72.75,synthetic,1.0.0,42
synth-task-00006,SYN-ENGG-0006,synth-asset-ENGG-516,CSMT-KYN,RAIL_GRINDING,ENGG,TRACK,3,0,1,20.0,2.98,54.0,1,1,4.35,2,MEDIUM,2,OPERATIONAL,1,MEDIUM,2,1.8,0,3,24,6,0.25,3,405,1.849,6,219,273.1,43.71,97.92,synthetic,1.0.0,42
synth-task-00007,SYN-TRD-0007,synth-asset-TRD-931,MAS-GDR,CONTACT_WIRE_RENEWAL,TRD,OHE_LINE,1,1,1,45.0,3.72,138.0,1,1,3.71,0,HIGH,3,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,2.45,0,5,10,1,0.1,1,190,0.792,1,240,274.5,83.62,67.22,synthetic,1.0.0,42
synth-task-00008,SYN-TRD-0008,synth-asset-TRD-842,HWH-DDU,OHE_INSPECTION,TRD,OHE_LINE,3,1,1,0.0,3.046,675.0,1,1,0.96,1,LOW,1,DEGRADED,3,MEDIUM,2,4.98,0,3,10,3,0.3,3,516,3.463,3,149,141.8,48.27,63.19,synthetic,1.0.0,42
synth-task-00009,SYN-SNT-0009,synth-asset-SNT-956,HWH-DDU,POINTS_TESTING,SNT,INTERLOCKING,1,0,1,0.0,1.631,675.0,1,1,4.5,0,LOW,1,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,5.51,0,5,8,3,0.375,2,432,4.547,3,95,104.6,74.78,59.57,synthetic,1.0.0,42
synth-task-00010,SYN-ENGG-0010,synth-asset-ENGG-896,MAS-GDR,RAIL_FRACTURE_REPAIR,ENGG,TRACK,1,0,1,20.0,3.125,138.0,1,1,5.4,3,CRITICAL,4,FAILED,5,IMMEDIATE,4,-0.22,1,5,8,1,0.125,3,399,2.912,2,137,121.4,100.0,54.99,synthetic,1.0.0,42
synth-task-00011,SYN-SNT-0011,synth-asset-SNT-351,NDLS-CNB,AXLE_COUNTER_OVERHAUL,SNT,AXLE_COUNTER,2,0,0,0.0,0.8,440.5,1,1,1.18,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,HIGH,3,4.69,0,4,10,5,0.5,3,474,5.711,0,83,63.5,84.76,60.22,synthetic,1.0.0,42
synth-task-00012,SYN-SNT-0012,synth-asset-SNT-963,NDLS-CNB,INTERLOCKING_LOGIC_TEST,SNT,INTERLOCKING,2,0,1,0.0,1.46,440.5,1,1,3.7,0,MEDIUM,2,OPERATIONAL,1,MEDIUM,2,13.02,0,4,9,1,0.111,2,472,3.211,1,147,134.4,51.01,53.66,synthetic,1.0.0,42
synth-task-00013,SYN-ENGG-0013,synth-asset-ENGG-787,MAS-GDR,TURNOUT_PACKING,ENGG,TURNOUT,4,0,1,0.0,1.526,138.0,1,1,1.27,0,MEDIUM,2,OPERATIONAL,1,LOW,1,11.09,0,2,9,4,0.444,1,199,1.567,4,127,105.7,26.31,66.24,synthetic,1.0.0,42
synth-task-00014,SYN-TRD-0014,synth-asset-TRD-930,CSMT-KYN,SUBSTATION_MAINTENANCE,TRD,TRACTION_SUBSTATION,3,1,0,0.0,1.596,54.0,1,1,2.84,0,HIGH,3,OPERATIONAL,1,MEDIUM,2,11.52,0,3,20,11,0.55,1,225,1.172,0,192,192.0,54.44,77.55,synthetic,1.0.0,42
synth-task-00015,SYN-TRD-0015,synth-asset-TRD-865,NDLS-CNB,CONTACT_WIRE_RENEWAL,TRD,OHE_LINE,2,1,1,15.0,2.781,440.5,1,1,1.14,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,-4.28,1,4,15,3,0.2,3,540,2.269,4,238,243.2,99.71,92.33,synthetic,1.0.0,42
synth-task-00016,SYN-ENGG-0016,synth-asset-ENGG-390,CSMT-KYN,TURNOUT_PACKING,ENGG,TURNOUT,2,0,1,15.0,2.025,54.0,1,1,1.06,0,LOW,1,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,-0.24,1,4,18,3,0.167,3,567,4.021,4,141,118.9,80.94,74.03,synthetic,1.0.0,42
synth-task-00017,SYN-TRD-0017,synth-asset-TRD-792,CSMT-KYN,INSULATOR_WASHING,TRD,OHE_INSULATOR,3,1,1,0.0,2.442,54.0,1,1,1.97,0,HIGH,3,DEGRADED,3,MEDIUM,2,4.92,0,3,19,5,0.263,2,282,2.564,6,110,123.8,63.0,91.38,synthetic,1.0.0,42
synth-task-00018,SYN-SNT-0018,synth-asset-SNT-962,HWH-DDU,INTERLOCKING_LOGIC_TEST,SNT,INTERLOCKING,2,0,1,0.0,2.09,675.0,1,1,3.43,1,MEDIUM,2,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,-6.09,1,4,13,6,0.462,2,392,2.405,6,163,146.9,82.78,88.01,synthetic,1.0.0,42
synth-task-00019,SYN-TRD-0019,synth-asset-TRD-225,MAS-GDR,CONTACT_WIRE_RENEWAL,TRD,OHE_LINE,1,1,1,0.0,2.976,138.0,1,1,5.7,1,CRITICAL,4,DEGRADED,3,HIGH,3,8.23,0,5,9,2,0.222,2,402,1.668,3,241,277.2,86.6,60.78,synthetic,1.0.0,42
synth-task-00020,SYN-ENGG-0020,synth-asset-ENGG-941,MAS-GDR,DEEP_SCREENING,ENGG,TRACK,4,0,1,15.0,2.007,138.0,1,1,2.8,0,HIGH,3,UNDER_MAINTENANCE,2,LOW,1,5.42,0,2,9,2,0.222,1,138,0.521,2,265,241.3,44.62,73.19,synthetic,1.0.0,42
synth-task-00021,SYN-TRD-0021,synth-asset-TRD-508,NDLS-CNB,CONTACT_WIRE_RENEWAL,TRD,OHE_LINE,4,1,1,0.0,2.696,440.5,1,1,2.57,0,LOW,1,UNDER_MAINTENANCE,2,HIGH,3,2.15,0,2,12,4,0.333,1,202,0.849,4,238,216.2,41.25,76.41,synthetic,1.0.0,42
synth-task-00022,SYN-ENGG-0022,synth-asset-ENGG-126,HWH-DDU,TURNOUT_PACKING,ENGG,TURNOUT,2,0,1,0.0,2.199,675.0,1,1,1.11,1,HIGH,3,OPERATIONAL,1,LOW,1,-2.41,1,4,7,2,0.286,2,260,1.793,3,145,114.3,56.46,54.21,synthetic,1.0.0,42
synth-task-00023,SYN-TRD-0023,synth-asset-TRD-853,MAS-GDR,OHE_INSPECTION,TRD,OHE_LINE,4,1,1,0.0,2.415,138.0,1,1,0.53,0,MEDIUM,2,DEGRADED,3,MEDIUM,2,11.31,0,2,12,6,0.5,1,212,1.35,7,157,126.7,55.06,84.88,synthetic,1.0.0,42
synth-task-00024,SYN-ENGG-0024,synth-asset-ENGG-433,NDLS-CNB,RAIL_FRACTURE_REPAIR,ENGG,TRACK,1,0,1,15.0,2.069,440.5,1,1,4.4,0,CRITICAL,4,FAILED,5,IMMEDIATE,4,-0.78,1,5,9,3,0.333,1,128,1.103,4,116,100.4,100.0,64.62,synthetic,1.0.0,42
synth-task-00025,SYN-ENGG-0025,synth-asset-ENGG-463,NDLS-CNB,RAIL_GRINDING,ENGG,TRACK,2,0,1,50.0,3.322,440.5,1,1,4.0,1,LOW,1,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,-2.52,1,4,11,5,0.455,1,137,0.566,6,242,307.6,87.48,87.24,synthetic,1.0.0,42
synth-task-00026,SYN-ENGG-0026,synth-asset-ENGG-654,MAS-GDR,RAIL_GRINDING,ENGG,TRACK,1,0,1,45.0,2.648,138.0,1,1,2.76,0,MEDIUM,2,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,6.9,0,5,9,1,0.111,1,131,0.544,2,241,237.7,80.65,63.46,synthetic,1.0.0,42
synth-task-00027,SYN-TRD-0027,synth-asset-TRD-608,HWH-DDU,CANTILEVER_ADJUSTMENT,TRD,OHE_MAST,3,1,1,0.0,2.554,675.0,1,1,2.48,0,MEDIUM,2,UNDER_MAINTENANCE,2,LOW,1,11.3,0,3,10,2,0.2,1,182,0.989,3,184,191.4,43.85,64.95,synthetic,1.0.0,42
synth-task-00028,SYN-ENGG-0028,synth-asset-ENGG-718,HWH-DDU,DEEP_SCREENING,ENGG,TRACK,1,0,1,20.0,2.157,675.0,1,1,5.05,0,CRITICAL,4,DEGRADED,3,HIGH,3,13.44,0,5,6,2,0.333,2,424,1.663,3,255,253.1,80.86,62.35,synthetic,1.0.0,42
synth-task-00029,SYN-ENGG-0029,synth-asset-ENGG-319,HWH-DDU,TRACK_TAMPING,ENGG,TRACK,2,0,1,30.0,2.447,675.0,1,1,5.1,0,MEDIUM,2,DEGRADED,3,LOW,1,5.8,0,4,7,1,0.143,1,220,1.058,2,208,246.3,51.66,55.71,synthetic,1.0.0,42
synth-task-00030,SYN-ENGG-0030,synth-asset-ENGG-585,MAS-GDR,DEEP_SCREENING,ENGG,TRACK,2,0,1,20.0,2.048,138.0,1,1,3.73,0,HIGH,3,MAINTENANCE_REQUIRED,4,HIGH,3,-2.38,1,4,11,4,0.364,2,252,1.016,5,248,280.3,88.66,83.95,synthetic,1.0.0,42
synth-task-00031,SYN-TRD-0031,synth-asset-TRD-272,CSMT-KYN,SUBSTATION_MAINTENANCE,TRD,TRACTION_SUBSTATION,2,1,0,0.0,2.655,54.0,1,1,3.73,2,HIGH,3,DEGRADED,3,MEDIUM,2,12.88,0,4,20,7,0.35,2,282,1.3,0,217,213.0,63.29,84.67,synthetic,1.0.0,42
synth-task-00032,SYN-SNT-0032,synth-asset-SNT-202,HWH-DDU,AXLE_COUNTER_OVERHAUL,SNT,AXLE_COUNTER,4,0,0,0.0,0.8,675.0,1,1,4.37,0,MEDIUM,2,OPERATIONAL,1,MEDIUM,2,-2.03,1,2,8,3,0.375,2,426,6.086,0,70,108.6,45.47,42.12,synthetic,1.0.0,42
synth-task-00033,SYN-TRD-0033,synth-asset-TRD-813,MAS-GDR,SUBSTATION_MAINTENANCE,TRD,TRACTION_SUBSTATION,2,1,0,0.0,1.625,138.0,1,1,4.54,0,CRITICAL,4,DEGRADED,3,IMMEDIATE,4,13.8,0,4,11,3,0.273,1,237,1.173,0,202,218.3,82.12,57.96,synthetic,1.0.0,42
synth-task-00034,SYN-TRD-0034,synth-asset-TRD-871,HWH-DDU,INSULATOR_WASHING,TRD,OHE_INSULATOR,4,1,1,0.0,2.433,675.0,1,1,0.77,0,MEDIUM,2,UNDER_MAINTENANCE,2,LOW,1,11.31,0,2,9,1,0.111,3,444,3.364,1,132,97.4,39.56,48.95,synthetic,1.0.0,42
synth-task-00035,SYN-ENGG-0035,synth-asset-ENGG-407,CSMT-KYN,TRACK_TAMPING,ENGG,TRACK,3,0,1,0.0,1.656,54.0,1,1,1.81,0,MEDIUM,2,DEGRADED,3,MEDIUM,2,4.21,0,3,20,10,0.5,3,426,2.088,11,204,155.0,57.1,100.0,synthetic,1.0.0,42
synth-task-00036,SYN-ENGG-0036,synth-asset-ENGG-897,CSMT-KYN,RAIL_GRINDING,ENGG,TRACK,2,0,1,15.0,2.954,54.0,1,1,4.35,3,LOW,1,DEGRADED,3,MEDIUM,2,1.41,0,4,20,4,0.2,1,186,0.812,4,229,267.8,56.39,88.87,synthetic,1.0.0,42
synth-task-00037,SYN-TRD-0037,synth-asset-TRD-886,MAS-GDR,CONTACT_WIRE_RENEWAL,TRD,OHE_LINE,3,1,1,30.0,3.748,138.0,1,1,1.79,1,HIGH,3,OPERATIONAL,1,MEDIUM,2,4.54,0,3,11,2,0.182,1,158,0.627,2,252,274.6,50.51,73.36,synthetic,1.0.0,42
synth-task-00038,SYN-ENGG-0038,synth-asset-ENGG-146,CSMT-KYN,DEEP_SCREENING,ENGG,TRACK,1,0,1,50.0,2.921,54.0,1,1,4.98,0,CRITICAL,4,UNDER_MAINTENANCE,2,HIGH,3,-0.41,1,5,24,11,0.458,2,464,1.651,11,281,265.8,83.27,97.26,synthetic,1.0.0,42
synth-task-00039,SYN-ENGG-0039,synth-asset-ENGG-371,NDLS-CNB,RAIL_FRACTURE_REPAIR,ENGG,TRACK,1,0,1,30.0,2.183,440.5,1,1,0.78,0,CRITICAL,4,FAILED,5,IMMEDIATE,4,-1.23,1,5,14,1,0.071,3,609,6.03,2,101,90.1,100.0,60.46,synthetic,1.0.0,42
synth-task-00040,SYN-TRD-0040,synth-asset-TRD-876,HWH-DDU,OHE_INSPECTION,TRD,OHE_LINE,3,1,1,15.0,2.904,675.0,1,1,2.33,0,MEDIUM,2,UNDER_MAINTENANCE,2,MEDIUM,2,6.98,0,3,10,5,0.5,3,480,3.158,5,152,156.1,45.58,74.09,synthetic,1.0.0,42
synth-task-00041,SYN-ENGG-0041,synth-asset-ENGG-656,CSMT-KYN,DEEP_SCREENING,ENGG,TRACK,1,0,1,15.0,2.831,54.0,1,1,0.55,2,CRITICAL,4,FAILED,5,HIGH,3,8.47,0,5,21,10,0.476,2,240,0.86,11,279,277.6,92.63,96.87,synthetic,1.0.0,42
synth-task-00042,SYN-TRD-0042,synth-asset-TRD-411,HWH-DDU,CANTILEVER_ADJUSTMENT,TRD,OHE_MAST,3,1,1,0.0,2.508,675.0,1,1,5.92,0,HIGH,3,OPERATIONAL,1,LOW,1,6.09,0,3,11,2,0.182,3,387,2.162,3,179,184.5,41.33,62.9,synthetic,1.0.0,42
synth-task-00043,SYN-SNT-0043,synth-asset-SNT-214,MAS-GDR,TRACK_CIRCUIT_CHECK,SNT,TRACK_CIRCUIT,2,0,1,0.0,1.938,138.0,1,1,3.77,1,MEDIUM,2,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,-6.97,1,4,12,1,0.083,2,478,5.311,1,90,70.8,87.63,54.19,synthetic,1.0.0,42
synth-task-00044,SYN-ENGG-0044,synth-asset-ENGG-745,NDLS-CNB,DEEP_SCREENING,ENGG,TRACK,2,0,1,30.0,2.401,440.5,1,1,4.15,0,MEDIUM,2,FAILED,5,IMMEDIATE,4,8.75,0,4,13,2,0.154,2,366,1.361,2,269,306.0,86.8,75.54,synthetic,1.0.0,42
synth-task-00045,SYN-ENGG-0045,synth-asset-ENGG-234,MAS-GDR,RAIL_FRACTURE_REPAIR,ENGG,TRACK,1,0,1,30.0,2.772,138.0,1,1,3.36,1,CRITICAL,4,FAILED,5,IMMEDIATE,4,-1.81,1,5,11,5,0.455,2,334,2.76,5,121,87.7,100.0,79.34,synthetic,1.0.0,42
synth-task-00046,SYN-TRD-0046,synth-asset-TRD-817,MAS-GDR,INSULATOR_WASHING,TRD,OHE_INSULATOR,4,1,1,0.0,2.664,138.0,1,1,4.53,0,HIGH,3,DEGRADED,3,MEDIUM,2,8.19,0,2,8,1,0.125,3,684,6.333,2,108,104.5,61.53,56.14,synthetic,1.0.0,42
synth-task-00047,SYN-TRD-0047,synth-asset-TRD-454,HWH-DDU,OHE_INSPECTION,TRD,OHE_LINE,3,1,1,0.0,3.018,675.0,1,1,5.38,1,MEDIUM,2,DEGRADED,3,MEDIUM,2,13.13,0,3,10,3,0.3,1,143,0.947,3,151,155.1,56.01,69.41,synthetic,1.0.0,42
synth-task-00048,SYN-TRD-0048,synth-asset-TRD-686,NDLS-CNB,CANTILEVER_ADJUSTMENT,TRD,OHE_MAST,2,1,1,0.0,2.664,440.5,1,1,4.64,0,HIGH,3,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,4.0,0,4,9,1,0.111,1,177,0.957,1,185,150.4,77.87,55.49,synthetic,1.0.0,42
